reg_season_Age,reg_season_G,reg_season_GS,reg_season_AS,reg_season_MP,reg_season_FG,reg_season_FGA,reg_season_2P,reg_season_2PA,reg_season_3P,reg_season_3PA,reg_season_FT,reg_season_FTA,reg_season_ORB,reg_season_DRB,reg_season_TRB,reg_season_AST,reg_season_STL,reg_season_BLK,reg_season_TOV,reg_season_PF,reg_season_PTS,reg_season_FG%,reg_season_2P%,reg_season_3P%,reg_season_FT%,reg_season_TS%,reg_season_eFG%,reg_season_Pos,reg_season_WS,reg_season_ORtg,reg_season_DRtg,reg_season_OWS,reg_season_DWS,reg_season_WS/48,reg_season_OBPM,reg_season_DBPM,reg_season_BPM,reg_season_VORP,reg_season_PER,reg_season_ORB%,reg_season_DRB%,reg_season_TRB%,reg_season_AST%,reg_season_STL%,reg_season_BLK%,reg_season_TOV%,reg_season_USG%,Player_Cleaned,Salary,Adjusted Salary
23,76,76,1,34.9,9.4,20.3,6.3,12.3,3.1,8.0,6.6,7.3,0.7,3.1,3.7,9.7,0.9,0.1,4.0,1.7,28.4,0.46,0.512,0.382,0.904,0.603,0.536,G,10.0,119.0,118,9.0,1.0,0.181,7.1,-2.0,5.2,4.8,25.4,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,traeyoung,8326471.0,9080829.0
26,68,67,0,30.8,6.5,12.9,4.5,8.0,1.9,4.9,3.0,4.9,1.6,8.5,10.1,2.3,0.8,1.0,1.9,2.5,17.9,0.501,0.57,0.39,0.623,0.595,0.576,F,4.9,114.0,113,2.9,2.0,0.112,2.1,-0.4,1.6,1.9,19.1,5.7,30.4,18.0,12.2,1.2,2.8,11.0,23.3,christianwood,13666667.0,14904833.0
20,62,31,0,21.7,3.1,6.8,1.9,2.9,1.2,3.9,0.7,0.9,0.4,1.7,2.1,1.0,0.6,0.2,0.7,1.8,8.1,0.45,0.632,0.314,0.782,0.559,0.54,F,2.2,113.0,114,1.1,1.1,0.08,-2.4,-0.6,-3.0,-0.3,9.7,2.0,8.2,5.0,6.3,1.2,0.8,8.4,14.9,ziairewilliams,4373040.0,4769226.0
24,61,61,0,29.6,4.4,6.0,4.4,6.0,0.0,0.0,1.1,1.5,3.9,5.7,9.6,2.0,0.9,2.2,1.0,2.2,10.0,0.736,0.738,0.0,0.722,0.745,0.736,C-F,9.9,148.0,102,6.0,3.9,0.262,2.4,3.1,5.5,3.4,22.1,14.6,20.5,17.6,9.7,1.5,6.8,13.4,11.5,robertwilliams,3661976.0,3993742.0
26,73,73,1,31.9,6.5,14.0,4.4,8.5,2.2,5.5,2.0,3.2,1.2,3.3,4.5,2.2,1.0,0.7,1.5,2.2,17.2,0.466,0.513,0.393,0.634,0.56,0.543,F-G,5.1,109.0,109,1.8,3.4,0.105,0.3,0.1,0.4,1.4,15.0,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,andrewwiggins,31579390.0,34440406.0
23,50,35,0,24.2,3.1,6.7,2.3,4.0,0.8,2.8,1.2,1.7,1.0,2.5,3.6,1.4,0.6,0.2,1.1,1.9,8.3,0.463,0.573,0.304,0.729,0.556,0.525,G,1.2,107.0,116,0.5,0.8,0.048,-3.4,-0.9,-4.3,-0.7,10.3,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,aaronwiggins,1305761.0,1424059.0
27,75,52,0,29.3,4.5,10.7,3.0,5.7,1.5,4.9,2.7,3.1,0.5,3.0,3.5,4.9,0.9,0.8,1.6,2.3,13.2,0.421,0.515,0.312,0.864,0.549,0.493,G,5.1,114.0,112,2.8,2.3,0.111,0.4,0.6,0.9,1.6,14.8,1.8,10.7,6.3,22.9,1.4,2.3,11.6,19.9,derrickwhite,15678571.0,17099011.0
33,78,78,0,34.3,7.0,15.8,6.0,12.4,1.0,3.4,3.4,5.1,1.4,6.0,7.4,7.1,1.0,0.3,3.8,3.0,18.5,0.444,0.485,0.298,0.667,0.512,0.476,G,1.7,102.0,114,-0.6,2.3,0.03,-0.7,-0.9,-1.6,0.2,15.0,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,russellwestbrook,44211146.0,48216568.0
23,65,28,0,27.2,3.8,8.2,2.2,3.6,1.7,4.6,0.9,1.2,1.3,3.9,5.2,2.3,0.9,0.9,1.3,2.3,10.3,0.47,0.606,0.365,0.716,0.588,0.573,F,3.4,114.0,113,1.8,1.6,0.091,-0.2,0.2,-0.1,0.9,13.6,4.8,15.5,10.1,11.2,1.5,3.3,12.6,15.6,pjwashington,4215120.0,4596999.0
31,37,37,0,25.6,4.0,10.0,2.1,4.6,2.0,5.4,1.6,1.9,0.4,2.6,3.0,3.5,0.7,0.2,1.3,1.0,11.6,0.403,0.444,0.367,0.845,0.537,0.501,G,1.8,112.0,113,1.0,0.9,0.093,0.7,-0.2,0.4,0.6,13.9,1.6,11.2,6.3,22.2,1.4,0.7,10.7,20.8,kembawalker,34967442.0,38135407.0
